WP 1/3 AVOID     X:  +0.8 Y:  +0.0 Z:-1.99 V:+0.37 Vz:-0.02 D:29.2м dZ:+1.01 RPY:+0/+2/-1° Сонар:11.9м | СОНАР[лучи:3 бл:11.9м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+9° гор:+29/+34° B:49%
WP 1/3 AVOID     X:  +0.8 Y:  +0.0 Z:-2.00 V:+0.41 Vz:-0.02 D:29.2м dZ:+1.00 RPY:+0/+2/-1° Сонар:11.8м | СОНАР[лучи:3 бл:11.8м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+9° гор:+32/+31° B:49%
WP 1/3 AVOID     X:  +0.9 Y:  +0.1 Z:-2.01 V:+0.45 Vz:-0.07 D:29.1м dZ:+0.99 RPY:+0/+2/-1° Сонар:11.8м | СОНАР[лучи:3 бл:11.8м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+9° гор:+35/+28° B:49%
WP 1/3 AVOID     X:  +1.0 Y:  +0.1 Z:-2.01 V:+0.49 Vz:-0.05 D:29.0м dZ:+0.99 RPY:-0/+2/-1° Сонар:11.7м | СОНАР[лучи:4 бл:11.7м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+9° гор:+37/+26° B:49%
WP 1/3 Круиз     X:  +1.0 Y:  +0.1 Z:-2.02 V:+0.50 Vz:-0.03 D:29.0м dZ:+0.98 [ОБХОД:AVOID-L] RPY:-0/+1/-0° Сонар:11.7м | СОНАР[лучи:4 бл:11.7м L∞ R∞ U∞ D∞ dir:L yaw_av:+2°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-2° гор:+37/+26° B:49%
WP 1/3 Круиз     X:  +1.1 Y:  +0.1 Z:-2.03 V:+0.45 Vz:-0.07 D:28.9м dZ:+0.97 [ОБХОД:AVOID-L] RPY:-0/+1/+1° Сонар:11.6м | СОНАР[лучи:4 бл:11.6м L∞ R∞ U∞ D∞ dir:L yaw_av:+6°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-7° гор:+37/+26° B:49%
WP 1/3 Круиз     X:  +1.2 Y:  +0.1 Z:-2.04 V:+0.42 Vz:-0.13 D:28.8м dZ:+0.96 [ОБХОД:AVOID-L] RPY:-0/-1/-0° Сонар:11.5м | СОНАР[лучи:4 бл:11.5м L∞ R∞ U∞ D∞ dir:L yaw_av:+6°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-8° гор:+36/+27° B:49%
WP 1/3 Круиз     X:  +1.2 Y:  +0.1 Z:-2.05 V:+0.39 Vz:-0.10 D:28.8м dZ:+0.95 [ОБХОД:PASS] RPY:-0/-2/+1° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+6°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-11° гор:+33/+30° B:49%
WP 1/3 Круиз     X:  +1.3 Y:  +0.1 Z:-2.06 V:+0.37 Vz:-0.05 D:28.7м dZ:+0.94 [ОБХОД:PASS] RPY:-0/-3/-0° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-11° гор:+30/+33° B:49%
WP 1/3 Круиз     X:  +1.3 Y:  +0.1 Z:-2.08 V:+0.35 Vz:-0.05 D:28.7м dZ:+0.92 [ОБХОД:PASS] RPY:-0/-4/-0° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-12° гор:+27/+36° B:49%
WP 1/3 AVOID     X:  +1.4 Y:  +0.1 Z:-2.09 V:+0.34 Vz:-0.13 D:28.6м dZ:+0.91 [ОБХОД:PASS] RPY:-0/-4/-0° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+26/+37° B:49%
WP 1/3 AVOID     X:  +1.4 Y:  +0.1 Z:-2.10 V:+0.33 Vz:-0.05 D:28.6м dZ:+0.90 [ОБХОД:PASS] RPY:+0/-3/-0° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+27/+36° B:49%
WP 1/3 AVOID     X:  +1.5 Y:  +0.1 Z:-2.11 V:+0.32 Vz:-0.05 D:28.5м dZ:+0.89 [ОБХОД:PASS] RPY:+0/-2/-0° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+29/+34° B:49%
WP 1/3 AVOID     X:  +1.5 Y:  +0.1 Z:-2.12 V:+0.31 Vz:-0.13 D:28.5м dZ:+0.88 [ОБХОД:PASS] RPY:+0/-1/-0° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+31/+32° B:49%
WP 1/3 AVOID     X:  +1.6 Y:  +0.1 Z:-2.13 V:+0.30 Vz:-0.04 D:28.4м dZ:+0.87 [ОБХОД:PASS] RPY:-0/-0/+0° Сонар:11.1м | СОНАР[лучи:4 бл:11.1м L∞ R∞ U∞ D∞ dir:C yaw_av:+7°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+33/+30° B:49%
WP 1/3 AVOID     X:  +1.6 Y:  +0.1 Z:-2.15 V:+0.29 Vz:-0.05 D:28.4м dZ:+0.85 [ОБХОД:PASS] RPY:-0/+1/+0° Сонар:11.0м | СОНАР[лучи:4 бл:11.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+6°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+45° гор:+34/+29° B:49%
WP 1/3 AVOID     X:  +1.7 Y:  +0.1 Z:-2.16 V:+0.28 Vz:-0.10 D:28.3м dZ:+0.84 [ОБХОД:PASS] RPY:-0/+1/+1° Сонар:11.0м | СОНАР[лучи:4 бл:11.0м L∞ R∞ U∞ D∞ dir:C yaw_av:+6°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+43° гор:+35/+28° B:49%
